country_name,airport_name,length_ft,width_ft,runway_type
Norway,Oslo Gardermoen Airport,11811,148.0,Longest
Norway,Førde Central Hospital Heliport,33,,Shortest
Oman,Duqm International Airport,13123,194.0,Longest
Oman,Muscat International Airport,13123,,Longest
Oman,Thumrait Air Base,13123,148.0,Longest
Oman,Salalah Airport,4196,59.0,Shortest
Pakistan,Islamabad International Airport,12001,197.0,Longest
Pakistan,Islamabad International Airport,12001,147.0,Longest
Pakistan,Gilgit Airport,983,49.0,Shortest
Palau,Babelthuap Airport,7200,150.0,Longest
Palau,Peleliu Airport,6000,40.0,Shortest
Palestinian Territory,Jerusalem International Airport,6447,148.0,Longest
Palestinian Territory,Jerusalem International Airport,6447,148.0,Shortest
Panama,Tocumen International Airport,10006,148.0,Longest
Panama,Ustupo Airport,1475,450.0,Shortest
Papua New Guinea,Port Moresby Jacksons International Airport,9022,148.0,Longest
Papua New Guinea,Kamina Airport,1148,,Shortest
Paraguay,Dr. Luis Maria Argaña International Airport,11483,131.0,Longest
Paraguay,Villa Hayes Sarg Airport,3215,,Shortest
Perú,Inca Manco Capac International Airport,13779,150.0,Longest
Perú,Collique Airport,3272,148.0,Shortest
Philippines,Ninoy Aquino International Airport,12261,197.0,Longest
Philippines,Woodland Airpark (duplicate),1980,98.0,Shortest
Poland,Warsaw Chopin Airport,12106,196.0,Longest
Poland,Brody Airfield,755,66.0,Shortest
Portugal,Humberto Delgado Airport (Lisbon Portela Airport),12484,148.0,Longest
Portugal,Herdade da Brava Heliport,66,66.0,Shortest
Puerto Rico,Rafael Hernandez Airport,11702,200.0,Longest
Puerto Rico,Boqueron Airport,1200,25.0,Shortest
Qatar,Hamad International Airport,15912,197.0,Longest
Qatar,Um Al Shokot,1640,65.0,Shortest
Réunion,Roland Garros Airport,10499,148.0,Longest
Réunion,Pierrefonds Airport,7000,150.0,Shortest
Romania,Henri Coandă International Airport,11484,148.0,Longest
Romania,Henri Coandă International Airport,11484,148.0,Longest
Romania,Aerodrom Crasna,890,100.0,Shortest
Russia,Ulyanovsk East Airport,16404,323.0,Longest
Russia,Yelizovo Airport,735,50.0,Shortest
Rwanda,Kigali International Airport,11483,148.0,Longest
Rwanda,Gisenyi Airport,3330,75.0,Shortest
Saint Barthélemy,Gustaf III Airport / Saint Barthélemy Rémy de Haenen Airport,2133,49.0,Longest
Saint Barthélemy,Gustaf III Airport / Saint Barthélemy Rémy de Haenen Airport,2133,49.0,Shortest
Saint Helena,RAF Ascension Island,10019,150.0,Longest
Saint Helena,Saint Helena Airport,6398,148.0,Shortest
Saint Kitts and Nevis,Robert L. Bradshaw International Airport,7602,148.0,Longest
Saint Kitts and Nevis,Vance W. Amory International Airport,3996,98.0,Shortest
Saint Lucia,Hewanorra International Airport,9003,148.0,Longest
Saint Lucia,George F. L. Charles Airport,5735,148.0,Shortest
Saint Martin,Grand Case-Espérance Airport,3937,98.0,Longest
Saint Martin,Grand Case-Espérance Airport,3937,98.0,Shortest
Saint Pierre and Miquelon,St Pierre Airport,5900,150.0,Longest
Saint Pierre and Miquelon,Miquelon Airport,3280,65.0,Shortest
Saint Vincent and the Grenadines,Argyle International Airport,9000,148.0,Longest
Saint Vincent and the Grenadines,Mustique Airport,3255,75.0,Shortest
Samoa,Faleolo International Airport,9843,148.0,Longest
Samoa,Fagali'i Airport,2198,,Shortest
San Marino,Aviosuperficie Torraccia,2133,98.0,Longest
San Marino,Aviosuperficie Torraccia,2133,98.0,Shortest
São Tomé and Principe,São Tomé International Airport,7283,148.0,Longest
São Tomé and Principe,Principe Airport,4331,98.0,Shortest
Saudi Arabia,King Khaled International Airport,13796,197.0,Longest
Saudi Arabia,King Khaled International Airport,13796,197.0,Longest
Saudi Arabia,Kharmiyah Airstrip,4125,95.0,Shortest
Senegal,Blaise Diagne International Airport,11483,197.0,Longest
Senegal,Saint Louis Airport,4300,125.0,Shortest
Serbia,Belgrade Nikola Tesla Airport,11155,148.0,Longest
Serbia,Čačak-Preljina Airport,722,39.0,Shortest
Seychelles,Seychelles International Airport,9800,151.0,Longest
Seychelles,Assumption Island Airport,1210,100.0,Shortest
Sierra Leone,Lungi International Airport,10498,150.0,Longest
Sierra Leone,Lungi International Airport,10498,150.0,Shortest
Singapore,Singapore Changi Airport /  Changi Air Base (West),13123,197.0,Longest
Singapore,Singapore Changi Airport /  Changi Air Base (West),13123,197.0,Longest
Singapore,Singapore Changi Airport /  Changi Air Base (West),13123,197.0,Longest
Singapore,Tengah Air Base,1155,236.0,Shortest
Sint Maarten,Princess Juliana International Airport,7708,148.0,Longest
Sint Maarten,Princess Juliana International Airport,7152,148.0,Shortest
Slovakia,M. R. Štefánik Airport,10466,148.0,Longest
Slovakia,Dolná Štubňa Airstrip,1476,39.0,Shortest
Slovenia,Ljubljana Jože Pučnik Airport,10827,148.0,Longest
Slovenia,Močna 'Jurkovič' Airfield,494,50.0,Shortest
Solomon Islands,Honiara International Airport,7218,148.0,Longest
Solomon Islands,Afutara Aerodrome,1501,131.0,Shortest
Somalia,Berbera Airport,13582,164.0,Longest
Somalia,Eil Airport,3445,164.0,Shortest
South Africa,Pierre Van Ryneveld Airport,16076,197.0,Longest
South Africa,"Klipriver Airfield, South Africa",900,,Shortest
South Korea,Incheon International Airport,13000,197.0,Longest
South Korea,C 158 Heliport,20,20.0,Shortest
South Korea,C 158 Heliport,20,20.0,Shortest
South Korea,N 303 Helipad,20,20.0,Shortest
South Sudan,Juba International Airport,10171,148.0,Longest
South Sudan,Akobo Airport,3500,,Shortest
Spain,Adolfo Suárez Madrid–Barajas Airport,13711,197.0,Longest
Spain,Pamplona Airport,2,,Shortest
Sri Lanka,Mattala Rajapaksa International Airport,11483,197.0,Longest
Sri Lanka,Koggala Airport,3142,140.0,Shortest
Sudan,Merowe New Airport,13186,197.0,Longest
Sudan,El Debba Airport,4595,100.0,Shortest
Suriname,Johan Adolf Pengel International Airport,11417,148.0,Longest
Suriname,Johan Adolf Pengel International Airport,11417,148.0,Shortest
Sweden,Luleå Airport,10990,148.0,Longest
Sweden,Ängelholm-Helsingborg Airport,613,131.0,Shortest
Switzerland,Geneva Cointrin International Airport,12795,164.0,Longest
Switzerland,Gsteigwiler Heliport,82,82.0,Shortest
Switzerland,San Vittore Heliport,82,82.0,Shortest
Syria,Qamishli Airport,11860,150.0,Longest
Syria,Minaq Air Base,4020,145.0,Shortest
Taiwan,Taiwan Taoyuan International Airport,12008,197.0,Longest
Taiwan,Wang'an Airport,3051,76.0,Shortest
Tajikistan,Khudzhand Airport,10450,164.0,Longest
Tajikistan,Farkhor Air Base,2585,72.0,Shortest
Tanzania,Kilimanjaro International Airport,11834,148.0,Longest
Tanzania,Julius Nyerere International Airport,3280,98.0,Shortest
Thailand,Suvarnabhumi Airport,13123,197.0,Longest
Thailand,Khok Kathiam Airport,600,64.0,Shortest
Timor-Leste,Cakung Airport,8233,182.0,Longest
Timor-Leste,Fuiloro Airfield,1969,39.0,Shortest
Togo,Lomé–Tokoin International Airport,9847,148.0,Longest
Togo,Niamtougou International Airport,8202,148.0,Shortest
Tonga,Fua'amotu International Airport,8795,147.0,Longest
Tonga,Kaufana Airport,2650,65.0,Shortest
Trinidad and Tobago,Piarco International Airport,10500,150.0,Longest
Trinidad and Tobago,Camden Airfield,4301,50.0,Shortest
Tunisia,Enfidha - Hammamet International Airport,10826,196.0,Longest
Tunisia,Borj El Amri Airport,3407,98.0,Shortest
Turkey,İstanbul Airport,13451,147.0,Longest
Turkey,İstanbul Airport,13451,196.0,Longest
Turkey,Fly Pergamon Sport Airfield,885,100.0,Shortest
Turkmenistan,Ashgabat International Airport,12467,151.0,Longest
Turkmenistan,Turkmenabat Airport,12467,197.0,Longest
Turkmenistan,Gaurdak Airport,4849,130.0,Shortest
Turks and Caicos Islands,Providenciales Airport,7598,148.0,Longest
